country,year,gdp_nominal - US$MM,gdp_per capita (usd),population,host_y,host_n,Index of Economic Freedom,no_of_internet_users,Gender gap index,Total Medals,gold medals,silver medals,bronze medals,Ranking
USA,2020,22235731,,330846000,0,1,,286942362,718,112,46,32.5,33.5,1
GBR,2020,3121421,,66168000,0,1,,63061419,770,48.5,18,16,14.5,5
CHN,2020,16952008,,1390475000,0,1,,772000000,674,95.5,43,26.5,26,2
RUS,2020,1786755,,141622000,0,1,,109552842,696,65,22,18,25,3
GER,2020,4628621,,79786000,0,1,,79127551,778,43,14,15,14,6
JPN,2020,5498777,,124173000,1,0,,118626672,657,21.5,7,7.5,7,13
FRA,2020,3196156,,65234000,0,1,,60421689,778,51,19,17,15,4
KOR,2020,1863997,,50820000,0,1,,47353649,650,31,13,10,8,8
ITA,2020,2340246,,59328000,0,1,,54798299,692,35.5,12,11.5,12,10
AUS,2020,1666743,,25382000,0,1,,21743803,731,39.5,12.5,13.5,13.5,7
NED,2020,1039157,,17059000,0,1,,16383879,737,19.5,7,6.5,6,14
HUN,2020,183101,,9604000,0,1,,8588776,670,16.5,8,3.5,5,12
BRA,2020,2362866,,213914000,0,1,,149057635,684,17.5,5,5,7.5,17
ESP,2020,1660197,,45835000,0,1,,42961230,746,29,8.5,11,9.5,11
KEN,2020,103462,,51724000,0,1,,43329434,694,31,13,10,8,9
JAM,2020,16598,,2811000,0,1,,1581100,717,11.5,5,4,2.5,18
CRO,2020,66553,,4130000,0,1,,3787838,711,7,3,2,2,20
CUB,2020,1946581.5,,11279000,0,1,,3696765,745,21,7,5,9,15
NZL,2020,251177,,4692000,0,1,,4184520,791,15.5,5,5.5,5,16
CAN,2020,2029166,,37291000,0,1,,33000381,769,20,3,4,13,19
IND,2020,3477052,,1375627000,0,1,,462124989,669,4,0,1.5,2.5,
